age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,was_contacted_before,pdays_clean,name
36,admin,married,professional_course,no,yes,yes,cellular,may,fri,89,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,0,,Hugo Carvalho
19,student,single,basic_4y,no,no,yes,cellular,apr,wed,371,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,,André Carvalho
41,blue-collar,married,basic_6y,unknown,yes,yes,cellular,may,thu,65,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,,Catarina Santos
83,retired,divorced,basic_4y,no,no,yes,cellular,jun,fri,472,2,999,0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,0,,Ana Almeida
49,management,married,university_degree,no,no,no,telephone,may,mon,27,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,,André Santos
55,management,married,university_degree,no,yes,no,cellular,jun,tue,114,3,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,0,,João Almeida
60,unknown,married,university_degree,no,no,no,telephone,may,tue,310,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,,Joana Rodrigues
55,admin,married,high_school,no,no,no,cellular,nov,fri,148,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,,Bruno Ferreira
55,services,divorced,basic_4y,unknown,yes,no,telephone,may,tue,26,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,,Hugo Silva
39,admin,single,unknown,no,yes,no,cellular,nov,fri,79,4,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,,Catarina Oliveira
30,self-employed,married,university_degree,no,yes,no,telephone,sep,mon,103,2,999,0,nonexistent,-3.4,92.379,-29.8,0.771,5017.5,0,,Tiago Carvalho
45,blue-collar,married,unknown,no,no,no,cellular,apr,thu,829,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,,Pedro Rodrigues
33,technician,single,university_degree,no,no,no,telephone,nov,fri,336,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,,João Pereira
48,unknown,married,unknown,unknown,yes,no,cellular,jul,mon,207,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,,Bruno Costa
41,admin,divorced,high_school,no,yes,no,cellular,apr,fri,114,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,,Rui Ferreira
37,technician,married,university_degree,no,yes,no,cellular,aug,tue,158,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,,Beatriz Rodrigues
29,management,married,university_degree,no,no,no,telephone,may,mon,150,5,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,,Ana Costa
31,blue-collar,single,high_school,no,yes,no,cellular,may,fri,197,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,,Catarina Ferreira
59,entrepreneur,married,university_degree,unknown,no,no,telephone,may,thu,147,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,,Diogo Almeida
46,unemployed,divorced,basic_9y,no,no,no,telephone,jun,wed,283,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,,Sofia Ferreira
48,blue-collar,married,professional_course,no,yes,no,cellular,aug,wed,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0,,Diogo Almeida
27,blue-collar,married,basic_9y,no,no,no,telephone,may,wed,392,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,,Miguel Oliveira
77,retired,married,unknown,no,yes,no,cellular,nov,fri,193,1,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,3.0,Beatriz Pereira
35,management,married,professional_course,no,no,no,telephone,may,wed,373,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,,Sofia Santos
36,admin,single,university_degree,unknown,yes,no,cellular,aug,mon,159,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,,Tiago Costa
34,admin,married,university_degree,no,no,no,cellular,may,fri,16,7,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,,Rui Pereira
39,management,married,university_degree,no,no,yes,cellular,apr,fri,177,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,,Maria Rodrigues
36,blue-collar,married,basic_4y,unknown,no,no,cellular,apr,tue,283,2,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,,Joana Costa
56,management,married,basic_4y,unknown,yes,no,telephone,jun,tue,197,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,,Carla Almeida
32,blue-collar,married,professional_course,no,yes,no,telephone,may,mon,100,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,,Maria Costa
45,unknown,married,unknown,no,no,no,telephone,nov,wed,169,1,999,0,nonexistent,-0.1,93.2,-42.0,4.663,5195.8,0,,Miguel Martins
50,entrepreneur,married,basic_9y,no,yes,no,telephone,jun,fri,7,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,,Hugo Carvalho
48,services,married,high_school,no,yes,yes,cellular,jun,tue,217,3,999,0,nonexistent,-2.9,92.963,-40.8,1.286,5076.2,0,,Joana Oliveira
51,blue-collar,married,basic_4y,unknown,yes,no,cellular,jul,thu,118,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,,Sofia Martins
22,student,single,high_school,no,no,no,cellular,apr,thu,780,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,,Ricardo Silva
41,blue-collar,married,basic_6y,no,no,no,telephone,may,thu,74,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,,Catarina Martins
39,services,married,high_school,no,no,no,telephone,may,tue,342,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,,Beatriz Ferreira
49,housemaid,married,basic_4y,no,no,no,telephone,may,mon,13,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,,Beatriz Ferreira
39,blue-collar,married,basic_9y,no,yes,no,cellular,may,wed,219,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0,,Pedro Rodrigues
30,self-employed,married,university_degree,no,yes,no,telephone,jul,thu,311,27,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,,Beatriz Silva
34,services,married,high_school,no,yes,no,cellular,nov,thu,640,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,,Inês Santos
27,blue-collar,single,basic_9y,no,yes,no,cellular,may,tue,339,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,,Inês Rodrigues
36,technician,married,high_school,no,yes,no,cellular,jul,tue,123,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,,Tiago Santos
39,admin,married,professional_course,no,unknown,unknown,telephone,jun,thu,638,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,,Diana Carvalho
42,blue-collar,married,basic_9y,unknown,no,no,telephone,may,mon,559,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,,João Santos
40,admin,divorced,university_degree,no,yes,no,cellular,jul,wed,594,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,,Maria Carvalho
56,housemaid,married,basic_9y,unknown,no,no,cellular,aug,thu,180,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,,Sofia Martins
49,blue-collar,married,basic_9y,no,no,no,cellular,may,thu,324,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0,,Pedro Oliveira
41,entrepreneur,divorced,university_degree,no,yes,no,telephone,may,thu,234,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,,Ricardo Silva
39,admin,married,high_school,no,no,no,cellular,may,mon,597,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,,Ana Pereira
51,admin,married,basic_9y,no,no,yes,cellular,nov,tue,110,5,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,,Ricardo Ferreira
46,admin,married,university_degree,no,yes,no,cellular,mar,thu,335,1,999,0,nonexistent,-1.8,93.369,-34.8,0.65,5008.7,0,,Sofia Almeida
31,admin,single,high_school,no,yes,no,cellular,apr,thu,119,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,,Hugo Carvalho
29,admin,single,professional_course,no,yes,no,cellular,may,tue,200,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,,Hugo Rodrigues
